,run1 1 percent augmentation                                        ,run2 1 percent augmentation                                        ,run3 1 percent augmentation                                        ,run4 1 percent augmentation                                        ,run5 1 percent augmentation                                        ,average 1 percent augmentation                                        ,run1 5 percent augmentation,run2 5 percent augmentation,run3 5 percent augmentation,run4 5 percent augmentation,run5 5 percent augmentation,average 5 percent augmentation,run1 10 percent augmentation,run2 10 percent augmentation,run3 10 percent augmentation,run4 10 percent augmentation,run5 10 percent augmentation,average run5 10 percent augmentation,run1 25 percent augmentation,run2 25 percent augmentation,run3 25 percent augmentation,run4 25 percent augmentation,run5 25 percent augmentation,average 25 percent augmentation,run1 50 percent augmentation (weighted),run2 50 percent augmentation (weighted),run3 50 percent augmentation (weighted),run4 50 percent augmentation (weighted),run5 50 percent augmentation (weighted),average 50 percent augmentation (weighted),BASELINE_AVERAGES
"gpt2 ""11""",24,30,36,59,65,42.8,55,68,56,28,68,55,33,65,16,49,50,42.6,62,67,48,77,74,65.6,76,93,66,93,83,82.2,
gpt3 Accuracy,0.7114,0.75,0.775,0.6157,0.6457,0.69956,0.6979,0.7714,0.6893,0.6557,0.6964,0.70214,0.6107,0.7021,0.7771,0.7686,0.7314,0.71798,0.6121,0.6607,0.6429,0.6136,0.6536,0.63658,0.5986,0.5329,0.5,0.6029,0.5314,0.55316,
gpt3 Log-loss,1.6256,1.3281,1.1005,1.8042,2.0456,1.5808,1.4955,1.3463,1.5084,1.5459,1.36,1.45122,1.7955,1.396,1.1028,0.9995,1.3757,1.3339,2.1007,1.8223,1.7696,1.987,1.7811,1.89214,1.8309,2.1176,2.6799,2.443,2.4024,2.29476,
gpt3 AUC-ROC,0.5386,0.4747,0.5909,0.4598,0.6018,0.53316,0.519,0.51,0.497,0.528,0.5131,0.51342,0.4258,0.5375,0.5202,0.5203,0.5528,0.51132,0.4822,0.5439,0.5725,0.5657,0.485,0.52986,0.5153,0.5713,0.5607,0.5584,0.5083,0.5428,
gpt3 Precision,0.7633,0.7514,0.781,0.7563,0.7939,0.76918,0.7599,0.7752,0.7524,0.7695,0.756,0.7626,0.7342,0.7697,0.7714,0.7724,0.7704,0.76362,0.7502,0.7707,0.7805,0.7746,0.7508,0.76536,0.7655,0.7763,0.7764,0.7785,0.7492,0.76918,
gpt3 Recall,0.7114,0.74,0.775,0.6157,0.6457,0.69756,0.6979,0.7714,0.6893,0.6557,0.6964,0.70214,0.6107,0.7021,0.7771,0.7686,0.7314,0.71798,0.6121,0.6607,0.6429,0.6136,0.6536,0.63658,0.5986,0.5329,0.5,0.6029,0.5314,0.55316,
gpt3 F-Score,0.7347,0.7456,0.7779,0.6692,0.6964,0.72476,0.7252,0.7733,0.7174,0.7001,0.723,0.7278,0.6616,0.7311,0.7743,0.7705,0.7492,0.73734,0.6656,0.7039,0.6927,0.6698,0.6943,0.68526,0.6573,0.6019,0.571,0.6616,0.6017,0.6187,
gpt3 Specificity,0.7883,0.8392,0.8633,0.6608,0.6675,0.76382,0.7725,0.8633,0.7675,0.7042,0.7742,0.77634,0.675,0.7692,0.875,0.8617,0.81,0.79818,0.6617,0.71,0.6758,0.6408,0.7192,0.6815,0.6283,0.5283,0.4833,0.6225,0.5492,0.56232,
gpt3 F1-Score mayority,0.8240418118,0.8469301934,0.8680351906,0.7467043315,0.7635843661,0.8123725959,0.814229249,0.8662207358,0.8089591568,0.7780847145,0.8138414367,0.8171213051,0.7623529412,0.8157313301,0.8706467662,0.864548495,0.8379310345,0.8320013899,0.7451900516,0.7820100964,0.7789566755,0.7397787398,0.7806422433,0.7657889891,0.7285024155,0.6597294485,0.623655914,0.7287804878,0.6676798379,0.68327258,
gpt3 F1-Score minority,0.1984126984,0.1374407583,0.2372881356,0.2041420118,0.2934472934,0.2208317998,0.1912045889,0.2156862745,0.1682600382,0.2324840764,0.1779497099,0.1977683725,0.1512605042,0.2234636872,0.1958762887,0.2058823529,0.2166666667,0.1968438538,0.1883408072,0.2351046699,0.2625368732,0.2496532594,0.1765704584,0.2239170226,0.2301369863,0.2551252847,0.2553191489,0.2586666667,0.205811138,0.2415130941,
gpt3 Macro - averaged,0.5112272551,0.4921854759,0.5526616631,0.4754231716,0.5285158298,0.5166021979,0.502716919,0.5409535051,0.4886095975,0.5052843955,0.4958955733,0.5074448388,0.4568067227,0.5195975086,0.5332615274,0.535215424,0.5272988506,0.5144226218,0.4667654294,0.5085573831,0.5207467743,0.4947159996,0.4786063509,0.4948530059,0.4793197009,0.4574273666,0.4394875315,0.4937235772,0.436745488,0.462392837,
gpt3 Precision minority ,0.25,0.145,0.245,0.345,0.515,0.3,0.25,0.22,0.22,0.365,0.23,0.257,0.28125,0.3,0.19,0.21,0.26,0.246875,0.315,0.365,0.445,0.45,0.26,0.367,0.42,0.56,0.6,0.485,0.425,0.498,
Recall minority,0.1644736842,0.1306306306,0.2300469484,0.1449579832,0.2051792829,0.1747233547,0.1547987616,0.2115384615,0.1362229102,0.1705607477,0.1451104101,0.1607254534,0.1034482759,0.178041543,0.2021276596,0.2019230769,0.1857142857,0.1636740331,0.1343283582,0.1733966746,0.1861924686,0.1727447217,0.1336760925,0.1611062335,0.158490566,0.1651917404,0.1621621622,0.1763636364,0.1357827476,0.1594110115,
"gpt3 ""00""",946,1007,1036,793,801,916.6,927,1036,921,845,929,931.6,810,923,1050,1034,972,957.8,794,852,881,769,863,831.8,754,634,580,747,659,674.8,
"gpt3 ""01""",254,193,164,407,399,283.4,273,164,279,355,271,268.4,390,277,150,166,228,242.2,406,348,389,431,337,382.2,446,566,620,453,541,525.2,
"gpt3 ""10""",150,171,151,131,97,140,150,156,156,127,154,148.6,115,140,162,158,148,144.6,137,127,111,110,148,126.6,116,88,80,103,115,100.4,
"gpt3 ""11""",50,29,49,69,103,60,50,44,44,73,46,51.4,45,60,38,42,52,47.4,63,73,89,90,52,73.4,84,112,120,97,85,99.6,
mixed Accuracy,0.6686,0.7893,0.7721,0.6793,0.6793,0.71772,0.5907,0.7564,0.7093,0.6714,0.6786,0.68128,0.5936,0.765,0.7136,0.7393,0.6814,0.69858,0.5857,0.7043,0.7414,0.7107,0.7221,0.69284,0.68,0.7136,0.6443,0.6729,0.545,0.65116,
mixed Log-loss,1.3688,1.0726,1.0802,1.6461,1.4433,1.3222,0.9721,1.3699,1.336,1.6515,1.6912,1.40414,2.0575,1.2613,1.1992,1.5869,2.0986,1.6407,2.7689,1.8754,1.4445,1.417,1.4318,1.78752,1.7769,1.5873,1.8454,1.6074,2.8108,1.92556,
